DatasetIdentifier,Publisher,SourceRepository,YearPublished
2024-363,Uppsala University,DORIS,2022
2024-422,Swedish University of Agricultural Sciences,DORIS,2024
2024-480,University of Gothenburg,DORIS,2024
snd1026-1,University of Gothenburg,DORIS,2024
2024-419,University of Gothenburg,DORIS,2024
2024-337,Uppsala University,DORIS (only metadata),2024
2024-327,Uppsala University,DORIS,2021
2024-229,Örebro University,DORIS,2018
2024-333,Uppsala University,DORIS,2021
2024-341,Uppsala University,DORIS,2021
snd0994-1,Lund University,DORIS,2024
2024-364,Linköping University,DORIS,2024
2024-329,Uppsala University,DORIS,2021
2024-313,Uppsala University,DORIS,2020
2024-397,Örebro University,DORIS (only metadata),2024
2024-321,Uppsala University,DORIS,2021
2024-429,Uppsala University,DORIS,2024
2024-305,Uppsala University,DORIS,2020
2024-300,Uppsala University,DORIS,2020
snd1017-1,University of Gothenburg,DORIS,2024
2024-286,Jönköping University,DORIS,2020
2024-413,University of Gothenburg,DORIS,2024
2024-361,Uppsala University,DORIS,2022
2021-314-1,Lund University,DORIS,2021
2020-180-1,Kristianstad University,DORIS,2020
2021-59-1,University of Skövde,DORIS (only metadata),2021
2020-158-1,Lund University,DORIS,2020
2021-302-1,SMHI - Swedish Meteorological and Hydrological Institute,DORIS,2022
2021-188-1,Swedish University of Agricultural Sciences,DORIS,2021
2021-193-1,Swedish University of Agricultural Sciences,DORIS,2021
2020-52-1,Linnaeus University,DORIS,2022
2021-247-1,Stockholm University,DORIS,2021
2021-116-1,Swedish University of Agricultural Sciences,DORIS,2021
ecds0161-1,SMHI - Swedish Meteorological and Hydrological Institute,DORIS (only metadata),2021
2021-38-1,Royal Institute of Technology,DORIS,2021
2024-314,Uppsala University,DORIS,2020
2024-196,Uppsala University,DORIS,2017
2024-316,Uppsala University,DORIS,2020
2024-306,Uppsala University,DORIS,2020
2024-186,Uppsala University,DORIS,2016
2024-336,Uppsala University,DORIS,2021
2024-271,Royal Institute of Technology,DORIS,2019
2024-207,Uppsala University,DORIS,2017
2024-265,Royal Institute of Technology,DORIS,2019
snd2254-1,Uppsala University,DORIS,2014
snd2255-1,Uppsala University,DORIS,2012
